ModelWriter/Demonstrations1,14175057,ecore
Whippsie/geodes.canard,24549511,ecore
pvgorp/TTC13-PN2SC-GrGen,37930815,eol
athepari/acedit1,19294948,ecore
epsilonlabs/modelflow,17529424,eol
oskanberg/MODE-B,1140650,eol
moamina/DAT,578944340,ecore
mariacaslop/Environment-of-model-design-based-on-fuzzy-automaton,21326040,eol
NanaEB/jastemf,28341693,ecore
kolovos/models2020-picto-data,27770189,ecore
burakuzn/ArchitectureModelDifferentiator,26361732,eol
crossminer/crossminer,19993018,ecore
Akilaloganathan/DSL---FoodPrep1,25950195,eol
GSEKM/Epsilon,14697955,eol
sofaw/thesis-code,16583631,eol
Akilaloganathan/DSL---FoodPrep,655814042,eol
UoY-RoboStar/roboarch2chart-epsilon1,23980028,eol
gssi/MetamodelDependenciesAnalyzer,502821,ecore
York-and-Maastricht-Data-Science-Group/vaultage,98033268,eol
nafisehka/UMLRTSynthesizer,610695,eol
levilucio/DSLTransLifting,3718854,eol
yarp14/learnciat,3272142,eol
rslkvk/MDD,29913876,eol
epsilonlabs/epsilonlabs,8324160,ecore
UoY-RoboStar/roboarch2chart-epsilon,26610022,eol
kb634/mondo-hawk,12321790,ecore
erwindejager/ou,571676,eol
park-sungmoo/rcp_training1,23054969,ecore
gssi/QualityEvaluationIL,15804078,ecore
chelder86/ArcadeTongame,26618983,eol
ghostbit09/repoProyectosMDE,705450538,eol
salser/TAIS,12405469,ecore
Pmcb04/DataWebDeskDSL,43229786,eol
virtualsatellite/VirtualSatellite4-TML,28784680,eol
epsilonlabs/incremental-evl,22219095,ecore
willamys/msc.android.jacroid,4089455,eol
BlackBeltTechnology/judo-tatami-base,10887884,ecore
aabiskar1/eclipse_emf_model1,644888049,ecore
GloriaDG22/GeneracionCodigoCozmo,20373895,eol
moji1/EpsilonCLIForUMLRT,25147655,ecore
vnzstc/org.univaq.uml2lqn,19118693,ecore
Hu3bl/emf.refactor,11636205,ecore
athepari/acedit,14803310,eol
ModelWriter/Demonstrations2,26584783,ecore
park-sungmoo/rcp_training,7448102,ecore
yapingl/AGSN,19750280,ecore
gssi/metamodel-dataset-analysis-toolchain,53264934,ecore
samuelmorenov/DMSS-POUEX,7627428,eol
aabiskar1/eclipse_emf_model,25818969,ecore
Sorour-j/Epsilon,20788235,eol
kit-sdq-emf-refactor-fork/org.eclipse.emf.refactor.refactoring,21029383,eol
sofaw/thesis-code1,22155835,ecore
NokiPls/ATLProva,200230073,eol
KybeleResearch/metagem,1560276,eol
pmpc94/master-thesis-emf,5095579,ecore
dani8art/model-driven-microservices-generator,22276769,ecore
lynnmie/acedit,7715068,eol
epsilonlabs/haetae,546932836,ecore
wrwei/org.eclipse.epsilon.labs.smartsax.emc.emf,13515795,eol
erroso/EugeniaDVD,1577411,ecore
JoseJuan98/MDE_Template_Driven_Web_Site,3872105,ecore
MohamadAli22/ALBA-framework,7514284,eol
clagms/TrNet,24958324,eol
BlackBeltTechnology/judo-tatami-base1,14414362,ecore
utwente-fmt/COMET,28660687,ecore
ModelWriter/Demonstrations,255094643,ecore
ISorokos/acedit,25797979,eol
KehindeGrep/HiLLS_Editor,23727614,ecore
florezfernandez/iArchiMate1,854607565,ecore
edsonalves/dsql,22940221,ecore
mdecommunity-uece/MDE-in-practice,7213092,ecore
jrwilliams/crepe,121971044,ecore
gssi/deprecation-metamodeling,31093812,ecore
den1den/metamodeling,27048588,ecore
JChen2010/liftedDSLTrans_experiment,17218188,ecore
Cemarquez/RM-Ruby,15263373,ecore
paulofpimenta/b-reactive,35290432,ecore
MagMar94/ParmorelExperimentResults,6759940,eol
moliz/moliz.xmof1,242148,ecore
adolfosbh/cs2as,20074599,eol
gssi/deprecation-metamodeling1,9531831,eol
KuehneThomas/model-to-model-transformation-generator,78791156,ecore
kanchan345/ca.queensu.cs.papyrus.rt.optimization,9504034,ecore
JMVARA/metagem,14935965,ecore
kortef/Cloud-Resource-Modelling,34177414,ecore
adilinam/QVTdCaseStudy1,17601475,eol
epsilonlabs/emf-cbp,60407636,ecore
dblouin/rdalte2,16297203,eol
alxbrd/org.eclipse.epsilon,7995190,eol
MagMar94/ParmorelRunnable,917969173,ecore
KybeleResearch/servicereasoning,13453892,eol
cdmsantos/crystalcase,21730525,ecore
varusblack/comida-rapida,26807792,ecore
githubbrunob/DSLTransGIT,14986166,ecore
gssi/RAModelingTool,28908595,ecore
serhatGezgin/hibernate-dsl,13364534,eol
ISorokos/acedit1,18434193,eol
epsilonlabs/emf-cbp1,4689324,eol
felipealencar/moses,8460710,ecore
rvarun11/emf-dsl,89135154,eol
damenac/puzzle,23567795,eol
edsonalves/dsql1,23718009,eol
renatomsoares/us2star,1326714,eol
SEALABQualityGroup/padre,12434028,ecore
SMadani/PhD,21230978,eol
gssi/QualityEvaluationIL1,1631731,eol
florezfernandez/iArchiMate,3788093,eol
serhatGezgin/hibernate-dsl1,27863446,eol
alfa-ryano/smlg,15279372,ecore
valencia921/metamodelo,2689242,eol
moji1/MDebugger,614757630,eol
adilinam/QVTdCaseStudy,29907163,ecore
moliz/moliz.xmof,16830288,ecore
serhatGezgin/hibernate-dsl2,6309047,ecore
Chemabee/DMSS_Project,9738413,eol
JCarballi/ProyectoDMSS,16907407,eol
A0L0XIIV/McMaster_Grad_Projects,9168967,ecore
UOY-Enterprise/parallel-crepe-locality,17492188,ecore
artist-project/ARTIST-MUT,26314643,ecore
mgt1g13/ERS-Diagram,23952000,eol
