-------------
Broker Host: localhost
Storage Dir: /Users/nemanja/Desktop/clones
Worker Count: 5
-------------
bid consumer setup for master
Bid{job=Repository ( path=facebook/react size=1023910 technologies=[] library=express jobId=a15721fb-2141-4342-9b3d-736e11c80cca correlationId=facebook/react destination=Repositories), cost=27102.298947093925, workerId='worker_fast_1', jobName='facebook/react'}
Bid{job=Repository ( path=facebook/react size=1023910 technologies=[] library=express jobId=a15721fb-2141-4342-9b3d-736e11c80cca correlationId=facebook/react destination=Repositories), cost=27071.298947093925, workerId='worker_slow_3', jobName='facebook/react'}
Bid{job=Repository ( path=facebook/react size=1023910 technologies=[] library=express jobId=a15721fb-2141-4342-9b3d-736e11c80cca correlationId=facebook/react destination=Repositories), cost=27151.298947093925, workerId='worker_normal_5', jobName='facebook/react'}
Bid{job=Repository ( path=facebook/react size=1023910 technologies=[] library=express jobId=a15721fb-2141-4342-9b3d-736e11c80cca correlationId=facebook/react destination=Repositories), cost=27112.298947093925, workerId='worker_normal_4', jobName='facebook/react'}
Bid{job=Repository ( path=facebook/react size=1023910 technologies=[] library=express jobId=a15721fb-2141-4342-9b3d-736e11c80cca correlationId=facebook/react destination=Repositories), cost=27110.298947093925, workerId='worker_slow_2', jobName='facebook/react'}
About to send winning bid: Bid{job=Repository ( path=facebook/react size=1023910 technologies=[] library=express jobId=a15721fb-2141-4342-9b3d-736e11c80cca correlationId=facebook/react destination=Repositories), cost=27071.298947093925, workerId='worker_slow_3', jobName='facebook/react'}
Bid{job=Repository ( path=facebook/react size=1023910 technologies=[] library=async jobId=1dfc703f-6220-44c7-a65c-5a49c34a7134 correlationId=facebook/react destination=Repositories), cost=27243.298947093925, workerId='worker_slow_3', jobName='facebook/react'}
Bid{job=Repository ( path=facebook/react size=1023910 technologies=[] library=async jobId=1dfc703f-6220-44c7-a65c-5a49c34a7134 correlationId=facebook/react destination=Repositories), cost=27117.298947093925, workerId='worker_normal_5', jobName='facebook/react'}
Bid{job=Repository ( path=facebook/react size=1023910 technologies=[] library=async jobId=1dfc703f-6220-44c7-a65c-5a49c34a7134 correlationId=facebook/react destination=Repositories), cost=27126.298947093925, workerId='worker_normal_4', jobName='facebook/react'}
Bid{job=Repository ( path=facebook/react size=1023910 technologies=[] library=async jobId=1dfc703f-6220-44c7-a65c-5a49c34a7134 correlationId=facebook/react destination=Repositories), cost=27120.298947093925, workerId='worker_slow_2', jobName='facebook/react'}
Bid{job=Repository ( path=facebook/react size=1023910 technologies=[] library=async jobId=1dfc703f-6220-44c7-a65c-5a49c34a7134 correlationId=facebook/react destination=Repositories), cost=27131.298947093925, workerId='worker_fast_1', jobName='facebook/react'}
About to send winning bid: Bid{job=Repository ( path=facebook/react size=1023910 technologies=[] library=async jobId=1dfc703f-6220-44c7-a65c-5a49c34a7134 correlationId=facebook/react destination=Repositories), cost=27117.298947093925, workerId='worker_normal_5', jobName='facebook/react'}
